,Treatment,Treat,Time,Microbiome,BB
1,ST,ST2,2,Sterilized,3.17
2,ST,ST2,2,Sterilized,2.61
3,ST,ST2,2,Sterilized,3.18
4,ST,ST2,2,Sterilized,2.61
5,ST,ST2,2,Sterilized,2.15
6,ST,ST2,2,Sterilized,3.51
7,ST,ST2,2,Sterilized,3.59
8,ST,ST2,2,Sterilized,2.68
9,RT,RT2,2,All,2.8
10,RT,RT2,2,All,2.4
11,RT,RT2,2,All,2.95
12,RT,RT2,2,All,2.88
13,RT,RT2,2,All,2.57
14,RT,RT2,2,All,2.71
15,RT,RT2,2,All,3.1
16,RT,RT2,2,All,3.12
17,MN,MN2,2,All,3.01
18,MN,MN2,2,All,3.38
19,MN,MN2,2,All,3.39
20,MN,MN2,2,All,3.19
21,MN,MN2,2,All,3.08
22,MN,MN2,2,All,2.27
23,MN,MN2,2,All,2.61
24,MN,MN2,2,All,2.8
25,MB,MB2,2,Bacteria,3.01
26,MB,MB2,2,Bacteria,3.25
27,MB,MB2,2,Bacteria,2.45
28,MB,MB2,2,Bacteria,3.09
29,MB,MB2,2,Bacteria,3.65
30,MB,MB2,2,Bacteria,3.08
31,MB,MB2,2,Bacteria,2.9
32,MB,MB2,2,Bacteria,3.08
33,MF,MF2,2,Fungi,2.78
34,MF,MF2,2,Fungi,1.44
35,MF,MF2,2,Fungi,1.88
36,MF,MF2,2,Fungi,1.89
37,MF,MF2,2,Fungi,2.88
38,MF,MF2,2,Fungi,2.55
39,MF,MF2,2,Fungi,2.39
40,MF,MF2,2,Fungi,2.555
41,ST,ST3,3,Sterilized,5.42
42,ST,ST3,3,Sterilized,5.43
43,ST,ST3,3,Sterilized,4.95
44,ST,ST3,3,Sterilized,4.6
45,ST,ST3,3,Sterilized,5.16
46,ST,ST3,3,Sterilized,4.42
47,ST,ST3,3,Sterilized,4.45
48,ST,ST3,3,Sterilized,4.66
49,RT,RT3,3,All,4.87
50,RT,RT3,3,All,4.71
51,RT,RT3,3,All,4.85
52,RT,RT3,3,All,5.38
53,RT,RT3,3,All,4.48
54,RT,RT3,3,All,4.54
55,RT,RT3,3,All,5.03
56,RT,RT3,3,All,4.89
57,RB,RB3,3,Bacteria,5.68
58,RB,RB3,3,Bacteria,6.04
59,RB,RB3,3,Bacteria,6.04
60,RB,RB3,3,Bacteria,5.48
61,RB,RB3,3,Bacteria,5.3
62,RB,RB3,3,Bacteria,5.35
63,RB,RB3,3,Bacteria,5
64,RB,RB3,3,Bacteria,5.12
65,RF,RF3,3,Fungi,4.22
66,RF,RF3,3,Fungi,5.49
67,RF,RF3,3,Fungi,5.1
68,RF,RF3,3,Fungi,5.35
69,RF,RF3,3,Fungi,4.69
70,RF,RF3,3,Fungi,5.2
71,RF,RF3,3,Fungi,5.22
72,RF,RF3,3,Fungi,5.4
73,MN,MN3,3,All,3.21
74,MN,MN3,3,All,4.01
75,MN,MN3,3,All,4.59
76,MN,MN3,3,All,3.8
77,MN,MN3,3,All,4.49
78,MN,MN3,3,All,4.54
79,MN,MN3,3,All,3.57
80,MN,MN3,3,All,3.9
81,MB,MB3,3,Bacteria,4.94
82,MB,MB3,3,Bacteria,4.93
83,MB,MB3,3,Bacteria,4.9
84,MB,MB3,3,Bacteria,4.56
85,MB,MB3,3,Bacteria,5.4
86,MB,MB3,3,Bacteria,5.25
87,MB,MB3,3,Bacteria,5.14
88,MB,MB3,3,Bacteria,5.22
89,MF,MF3,3,Fungi,4.92
90,MF,MF3,3,Fungi,3.6
91,MF,MF3,3,Fungi,4.63
92,MF,MF3,3,Fungi,4.77
93,MF,MF3,3,Fungi,4.36
94,MF,MF3,3,Fungi,4.39
95,MF,MF3,3,Fungi,3.4
96,MF,MF3,3,Fungi,4.6
97,ST,ST4,4,Sterilized,2.11620438
98,ST,ST4,4,Sterilized,2.478128951
99,ST,ST4,4,Sterilized,2.248432671
100,ST,ST4,4,Sterilized,2.022534143
101,ST,ST4,4,Sterilized,2.518710383
102,ST,ST4,4,Sterilized,2.27
103,ST,ST4,4,Sterilized,2.079514925
104,ST,ST4,4,Sterilized,2.27
105,RT,RT4,4,All,2.51
106,RT,RT4,4,All,2.59
107,RT,RT4,4,All,2.47
108,RT,RT4,4,All,2.58
109,RT,RT4,4,All,2.48
110,RT,RT4,4,All,2.48
111,RT,RT4,4,All,2.37
112,RT,RT4,4,All,2.57
113,RB,RB4,4,Bacteria,2.77
