,Time,Treatment,Treat,Feedback
48,2,MN,MN2,-0.31805317
47,2,MN,MN2,-0.31162228
43,2,MN,MN2,-0.262025339
44,2,MN,MN2,-0.238010463
41,2,MN,MN2,-0.209839586
56,2,MN,MN2,-0.17848278
46,2,MN,MN2,-0.177168803
55,2,MN,MN2,-0.17205189
45,2,MN,MN2,-0.124126067
51,2,MN,MN2,-0.122454949
64,2,MN,MN2,-0.108213585
63,2,MN,MN2,-0.101782694
52,2,MN,MN2,-0.098440073
49,2,MN,MN2,-0.070269196
42,2,MN,MN2,-0.055688906
59,2,MN,MN2,-0.052185753
54,2,MN,MN2,-0.037598414
8,2,MN,MN2,-0.035892923
7,2,MN,MN2,-0.029462033
60,2,MN,MN2,-0.028170877
40,2,MN,MN2,-0.012903405
39,2,MN,MN2,-0.006472515
57,2,MN,MN2,0
53,2,MN,MN2,0.015444322
3,2,MN,MN2,0.020134908
32,2,MN,MN2,0.022187915
31,2,MN,MN2,0.028618805
62,2,MN,MN2,0.032670782
35,2,MN,MN2,0.043124427
4,2,MN,MN2,0.044149785
36,2,MN,MN2,0.067139303
1,2,MN,MN2,0.072320662
27,2,MN,MN2,0.078215746
16,2,MN,MN2,0.080042708
24,2,MN,MN2,0.08299692
50,2,MN,MN2,0.083881484
61,2,MN,MN2,0.085713518
15,2,MN,MN2,0.086473598
23,2,MN,MN2,0.08942781
33,2,MN,MN2,0.09531018
28,2,MN,MN2,0.102230623
6,2,MN,MN2,0.104991444
38,2,MN,MN2,0.127980962
25,2,MN,MN2,0.1304015
11,2,MN,MN2,0.136070539
19,2,MN,MN2,0.139024751
58,2,MN,MN2,0.15415068
5,2,MN,MN2,0.15803418
12,2,MN,MN2,0.160085415
20,2,MN,MN2,0.163039627
30,2,MN,MN2,0.163072282
37,2,MN,MN2,0.181023698
9,2,MN,MN2,0.188256292
17,2,MN,MN2,0.191210504
29,2,MN,MN2,0.216115018
14,2,MN,MN2,0.220927075
22,2,MN,MN2,0.223881287
2,2,MN,MN2,0.226471341
34,2,MN,MN2,0.24946086
