,Generation,bbiomass,Tbbray,PTBbray,TFbray,PTFbray,sbcore,pbcore,snbcore,pnbcore,sfcore,pfcore,snfcore,pnfcore
1,2,0.072320661,0.337349135,0.432708407,0.664886235,0.696463709,0.41838465,0.231007752,0.263664999,0.375349899,0.583436439,0.523053678,0.630282771,0.613209574
2,2,0.188256292,0.384181539,0.452264225,0.715345474,0.510955322,0.207127546,0.214589536,0.344173957,0.305768543,0.497365552,0.520608894,0.602705367,0.758627378
3,2,0.191210505,0.392494673,0.481432992,0.722177827,0.569477782,0.219870485,0.291538198,0.368321979,0.323098084,0.559473001,0.430753953,0.633217931,0.557227435
4,2,0.1304015,0.417461689,0.405657786,0.684076584,0.580066783,0.399461712,0.186107333,0.387599635,0.378622523,0.651049384,0.430753953,0.683914934,0.613209574
5,2,0.095310179,0.466780184,0.400370809,0.744487066,0.628429994,0.305484018,0.177600345,0.43354713,0.359838132,0.540904667,0.682579676,0.361558154,0.685330461
6,2,-0.209839585,0.565402402,0.412425412,0.718308828,0.638309904,0.251186426,0.211885467,0.471635469,0.230561117,0.515547246,0.74310038,0.656028437,0.774284144
7,2,-0.070269196,0.45472997,0.423969368,0.693600784,0.687255936,0.260940562,0.211016949,0.42563672,0.330273541,0.539940677,0.649492631,0.700294911,0.751338451
8,2,0,0.551587525,0.460868327,0.386574474,0.713707784,0.203490997,0.26108871,0.430113921,0.407426555,0.43709322,0.593575811,0.640436072,0.671102595
9,2,0.226471342,0.326810258,0.39324394,0.550870648,0.664077275,0.197515132,0.187076698,0.234299772,0.322683706,0.453982692,0.350547857,0.598903922,0.626137526
10,2,0.342406973,0.371460929,0.417341531,0.603029385,0.541192247,0.264878576,0.184608165,0.320037555,0.385312918,0.271224538,0.350547857,0.485282178,0.574913328
11,2,0.345361183,0.379012971,0.42467411,0.611966281,0.5590713,0.27645394,0.199195482,0.343064858,0.361778185,0.571559769,0.555963977,0.57281574,0.665379665
12,2,0.284552179,0.396615259,0.41329048,0.564605829,0.57048263,0.374570175,0.182423682,0.357326116,0.30957857,0.627343011,0.457485005,0.63516677,0.714163035
13,2,0.24946086,0.433518804,0.376934714,0.641440673,0.602610408,0.300510833,0.159996197,0.39491424,0.324642529,0.309858176,0.381232517,0.398162527,0.639495824
14,2,-0.055688907,0.549404559,0.389768752,0.581193309,0.611518848,0.439748324,0.18884447,0.435646012,0.286768411,0.594878294,0.355578356,0.721434065,0.590191198
15,2,0.083881485,0.426792502,0.412921997,0.540359874,0.647911623,0.32945753,0.175381162,0.390591398,0.370571615,0.317606422,0.464552122,0.483075231,0.639495824
16,2,0.154150681,0.537014211,0.430671451,0.346749903,0.676146889,0.438869855,0.211708889,0.393214051,0.444547708,0.645567766,0.504403385,0.681698012,0.755313221
17,2,0.020134909,0.331056384,0.3958219,0.594235408,0.516059226,0.170549473,0.20851819,0.330058978,0.288333248,0.568196073,0.531120899,0.439847858,0.776790415
18,2,0.136070538,0.339721468,0.400506329,0.658389576,0.503318592,0.220360825,0.224971136,0.317941542,0.23724927,0.409743367,0.495165604,0.587959447,0.691568424
19,2,0.139024751,0.350172755,0.380403044,0.66329474,0.51953767,0.234728127,0.166412002,0.296517008,0.248692896,0.563525038,0.421917085,0.683701333,0.526936138
20,2,0.078215746,0.363202362,0.39505276,0.618572575,0.53695352,0.256491122,0.199088022,0.295337621,0.290653369,0.554326708,0.431768746,0.702545549,0.53041451
21,2,0.043124428,0.395518797,0.39152559,0.705494176,0.537507308,0.328593629,0.200834028,0.3355459,0.280157878,0.490242742,0.537441481,0.765159914,0.526936138
22,2,-0.262025339,0.520214663,0.417420585,0.607563044,0.562504919,0.426783479,0.226851465,0.396139751,0.263904713,0.65117311,0.523053678,0.5215375,0.736009985
23,2,-0.12245495,0.390162693,0.390154755,0.575113385,0.672625365,0.283484391,0.196184838,0.323386081,0.257629473,0.425158952,0.690876252,0.663408893,0.782213055
24,2,-0.052185754,0.526631541,0.398433478,0.41971435,0.687292166,0.429136393,0.209935137,0.318921264,0.331984674,0.529722982,0.562905318,0.58969757,0.605557276
25,2,0.044149785,0.429550396,0.3958219,0.446581197,0.696463709,0.312042582,0.20851819,0.289419125,0.271347539,0.677012556,0.421917085,0.753870721,0.632444934
26,2,0.160085416,0.411726645,0.400506329,0.490477261,0.510955322,0.285930408,0.224971136,0.348203144,0.319211283,0.515122448,0.32903338,0.750797072,0.714163035
27,2,0.163039626,0.426040229,0.380403044,0.491421273,0.569477782,0.297043775,0.166412002,0.377707794,0.294074698,0.316295515,0.475660743,0.465973622,0.626137526
28,2,0.102230622,0.456015031,0.39505276,0.477804902,0.580066783,0.330534003,0.199088022,0.398238039,0.375841023,0.469482463,0.495165604,0.717836135,0.557227435
29,2,0.067139303,0.478002647,0.39152559,0.50652524,0.628429994,0.385381382,0.200834028,0.428815505,0.280744337,0.395760695,0.537441481,0.641817924,0.606293142
30,2,-0.238010464,0.561973101,0.417420585,0.399557064,0.638309904,0.464017033,0.226851465,0.450375219,0.247118289,0.653470239,0.682579676,0.722703041,0.740300551
31,2,-0.098440072,0.464450224,0.390154755,0.365345581,0.687255936,0.340119495,0.196184838,0.419035267,0.309544846,0.593275779,0.464756488,0.509830234,0.672332553
32,2,-0.028170876,0.580886934,0.398433478,0.384964828,0.713707784,0.497781462,0.209935137,0.423783118,0.233546409,0.561704512,0.56956477,0.560155136,0.776790415
33,2,0.158034179,0.313150074,0.39324394,0.597621094,0.516059226,0.166479305,0.187076698,0.216506266,0.375349899,0.473025872,0.464916653,0.562541912,0.679182269
34,2,0.273969811,0.34430544,0.417341531,0.658857283,0.503318592,0.206356413,0.184608165,0.294627642,0.305768543,0.579791375,0.555963977,0.606501843,0.574758996
35,2,0.276924023,0.354674114,0.42467411,0.660896846,0.51953767,0.221093543,0.199195482,0.320110832,0.323098084,0.380204916,0.32903338,0.561911002,0.623187936
36,2,0.216115019,0.37388784,0.41329048,0.619876309,0.53695352,0.24876301,0.182423682,0.333732591,0.378622523,0.199012789,0.381232517,0.429986342,0.574913328
37,2,0.181023698,0.415031824,0.376934714,0.703837472,0.537507308,0.317509698,0.159996197,0.376068156,0.359838132,0.553766476,0.457485005,0.678193264,0.746924505
38,2,-0.124126067,0.53411306,0.389768752,0.610350756,0.562504919,0.396885615,0.18884447,0.425255843,0.230561117,0.686111267,0.355578356,0.800327215,0.740300551
39,2,0.015444322,0.412661917,0.412921997,0.563481896,0.672625365,0.270421485,0.175381162,0.375993197,0.330273541,0.598980459,0.464756488,0.684770467,0.632444934
40,2,0.085713518,0.519178474,0.430671451,0.430208611,0.687292166,0.407249467,0.211708889,0.378134877,0.407426555,0.589720139,0.55023949,0.508190915,0.782213055
41,2,0.104991445,0.427707545,0.432708407,0.567177465,0.629539219,0.291136338,0.231007752,0.211934014,0.322683706,0.55617505,0.490723089,0.629996433,0.746924505
42,2,0.220927074,0.446808511,0.452264225,0.623709281,0.642841549,0.320802131,0.214589536,0.27725931,0.385312918,0.468579498,0.464916653,0.733989568,0.665379665
43,2,0.223881286,0.457465379,0.481432992,0.632787194,0.658936686,0.333625817,0.291538198,0.305930793,0.361778185,0.59432632,0.504403385,0.609350809,0.540817134
44,2,0.163072281,0.478398971,0.405657786,0.586867104,0.573654932,0.358791518,0.186107333,0.323617672,0.30957857,0.549330085,0.45800328,0.585628098,0.623187936
45,2,0.127980963,0.508898624,0.400370809,0.675962815,0.564814614,0.421640386,0.177600345,0.370987623,0.324642529,0.511468573,0.520608894,0.687763335,0.540817134
46,2,-0.177168804,0.60184714,0.412425412,0.565052457,0.766169083,0.485711504,0.211885467,0.414037748,0.286768411,0.550010648,0.690876252,0.784353459,0.590191198
47,2,-0.037598415,0.501835211,0.423969368,0.534785203,0.592384857,0.377028317,0.211016949,0.364385886,0.370571615,0.626184568,0.562905318,0.571417959,0.691568424
48,2,0.032670781,0.596464616,0.460868327,0.426652171,0.647073955,0.497162943,0.26108871,0.374333441,0.444547708,0.554321736,0.649492631,0.371378471,0.724888421
49,2,-0.029462032,0.318488001,0.41792025,0.669446262,0.664077275,0.188103633,0.270033763,0.318552937,0.288333248,0.580234444,0.45800328,0.490970666,0.605557276
50,2,0.086473597,0.323938592,0.413972501,0.733358387,0.5590713,0.202778787,0.293778964,0.269016805,0.23724927,0.558393113,0.531120899,0.608351305,0.755313221
51,2,0.089427809,0.337693632,0.351307031,0.730919066,0.57048263,0.216819045,0.172338622,0.295660011,0.248692896,0.308665125,0.475660743,0.409181592,0.575546795
52,2,0.028618805,0.361701412,0.428988895,0.67413406,0.611518848,0.243953419,0.266236021,0.303144519,0.290653369,0.58958619,0.442554278,0.55239304,0.574758996
