,SampleID,Generation,Treat,Treatment,average_genome_size
1,A1,Phase 2,RT2,Rotation,5.314017203
2,A2,Phase 2,RT2,Rotation,5.072843862
3,A3,Phase 2,RT2,Rotation,5.146879759
4,A4,Phase 2,RT2,Rotation,5.205517981
5,B1,Phase 2,MN2,Monoculture,5.283775714
6,B2,Phase 2,MN2,Monoculture,5.258415626
7,B3,Phase 2,MN2,Monoculture,5.257238058
8,B4,Phase 2,MN2,Monoculture,4.919755026
13,D1,Phase 3,RT3,Rotation,6.056493659
14,D2,Phase 3,RT3,Rotation,6.464517295
15,D3,Phase 3,RT3,Rotation,7.501037311
16,D4,Phase 3,RT3,Rotation,6.671954642
9,C1,Phase 3,MN3,Monoculture,5.25283742
10,C2,Phase 3,MN3,Monoculture,5.742448811
11,C3,Phase 3,MN3,Monoculture,5.625348532
12,C4,Phase 3,MN3,Monoculture,5.084343996
17,E1,Phase 4,RT4,Rotation,11.81740116
18,E2,Phase 4,RT4,Rotation,9.046030421
19,E3,Phase 4,RT4,Rotation,9.11039389
20,E4,Phase 4,RT4,Rotation,9.041570852
21,F1,Phase 4,MN4,Monoculture,5.14756879
22,F2,Phase 4,MN4,Monoculture,5.959178766
23,F3,Phase 4,MN4,Monoculture,5.75850912
24,F4,Phase 4,MN4,Monoculture,5.235283615
